region,value,population,normalized
Алтайский край,111,2099186,5.287763923730437
Амурская область,50,753046,6.639700629178031
Архангельская область,48,947528,5.065813358549827
Архангельская область,46,947528,4.854737801943584
Астраханская область,34,946580,3.5918781296879287
Белгородская область,46,1482025,3.10386127089624
Брянская область,52,1132795,4.590415741594905
Владимирская область,62,1297936,4.776814881473355
Волгоградская область,84,2434046,3.451044064080958
Вологодская область,53,1115371,4.751782142444084
Воронежская область,77,2260045,3.4070118072870232
Еврейская автономная область,16,144428,11.07818428559559
Забайкальский край,55,983838,5.59035125701589
Ивановская область,53,898490,5.898785740520206
Иркутская область,88,2322292,3.7893598221067806
Кабардино-Балкарская Республика,35,908214,3.8537172957034356
Калининградская область,53,1032904,5.131164174018108
Калужская область,36,1066601,3.37520778622934
Камчатский край,32,288200,11.103400416377516
Карачаево-Черкесская Республика,19,468599,4.05463946786058
Кемеровская область,82,2527219,3.2446732950329986
Кировская область,70,1120412,6.247701738289129
Костромская область,41,560825,7.310658405028306
Краснодарский край,166,5842238,2.8413768833108133
Красноярский край,124,2837988,4.369292611526194
Курганская область,31,744465,4.164064126587549
Курская область,47,1049783,4.477115746778144
Ленинградская область,50,2059479,2.4277984868988707
Липецкая область,45,1108295,4.060290807050469
Магаданская область,7,134544,5.202758948745392
Московская область,156,8775735,1.777628882367118
Мурманская область,38,651363,5.833920563495317
Ненецкий автономный округ,2,41906,4.772586264496731
Нижегородская область,133,3039421,4.375833423536917
Новгородская область,34,566960,5.996895724566107
Новосибирская область,109,2786540,3.911661056363806
Омская область,84,1805806,4.651662470940954
Оренбургская область,62,1816898,3.4124095023496093
Орловская область,37,686181,5.392163292192585
Пензенская область,43,1226878,3.504830961187665
Пермский край,72,2483633,2.8989790359525744
Приморский край,83,1799659,4.611984826014262
Псковская область,40,574480,6.962818548948615
Республика Адыгея,23,500731,4.593284617888647
Республика Алтай,17,210095,8.091577619648254
Республика Башкортостан,96,4042377,2.3748403476469417
Республика Бурятия,44,971139,4.530762331653862
Республика Дагестан,122,3259890,3.7424575675866363
Республика Ингушетия,16,534491,2.9935022292236915
Республика Калмыкия,23,267588,8.595303227349508
Республика Карелия,33,518950,6.3589941227478555
Республика Коми,45,714785,6.295599376036152
Республика Крым,66,1902249,3.4695773266275864
Республика Марий Эл,28,666202,4.202929441820949
Республика Мордовия,36,758895,4.743739252465756
Республика Саха (Якутия),57,1006561,5.66284606695471
Республика Северная Осетия - Алания,40,678826,5.892526214375996
Республика Татарстан,92,4019606,2.2887815372949487
Республика Тыва,29,338483,8.567638552009997
Республика Хакасия,25,525557,4.756857962123994
Ростовская область,125,4137335,3.0212685218866735
Рязанская область,41,1074402,3.8160762917418247
Самарская область,88,3112566,2.827249285637638
Саратовская область,100,2369405,4.220468851884756
Сахалинская область,45,457597,9.83398055494245
Свердловская область,149,4221452,3.5295912401704435
Смоленская область,37,857096,4.316902657345268
Ставропольский край,83,2884363,2.8775851028459316
Тамбовская область,45,946657,4.7535696667325125
Тверская область,72,1190574,6.047503137142252
Томская область,50,1039728,4.808950033085576
Тульская область,59,1456791,4.049997563137059
Тюменская область без ХМАО и ЯНАО,117,1626809,7.191993651375176
Тюменская область без ХМАО и ЯНАО,39,1626809,2.397331217125059
Удмуртская Республика,65,1427282,4.554110540173561
Ульяновская область,60,1165334,5.148738473261743
Хабаровский край,54,1273488,4.2403226414383175
Ханты-Мансийский автономный округ - Югра,54,1781782,3.030673786130963
Челябинская область,114,3385124,3.3676757483625415
Чеченская Республика,86,1576552,5.454942177612917
Чувашская Республика,46,1159768,3.966310503480006
Чукотский автономный округ,1,47778,2.093013520867345
Ямало-Ненецкий автономный округ,24,523105,4.587989027059577
Ярославская область,46,1180174,3.8977303346794625
Москва,208,13274285,1.5669393869424981
Санкт-Петербург,123,5652922,2.175865861938304
Севастополь,13,558302,2.3284888823611594
